NOC,Gold,Silver,Bronze,Total,level
United States,1105,879,780,2764,1
China,303,226,198,727,1
Great Britain,299,339,343,981,2
France,240,278,299,817,2
Soviet Union,395,319,296,1010,2
Germany,220,225,259,704,3
Italy,230,205,228,663,3
Australia,182,192,226,600,3
Japan,189,162,193,544,3
Sweden,152,181,183,516,3
Hungary,187,162,182,531,3
Russia,147,126,150,423,3
East Germany,153,129,127,409,3
Canada,80,117,157,354,4
Poland,74,95,144,313,4
Netherlands,110,112,135,357,4
Romania,93,101,123,317,4
Finland,102,85,119,306,4
South Korea,109,100,111,320,4
Cuba,86,70,88,244,4
Bulgaria,57,89,85,231,4
Denmark,50,82,84,216,4
West Germany,56,67,81,204,4
Brazil,40,49,81,170,4
Switzerland,57,81,79,217,4
Ukraine,38,41,72,151,4
Belgium,47,57,65,169,4
Spain,53,76,58,187,4
New Zealand,63,40,54,157,4
Norway,65,53,53,171,4
Greece,36,46,47,129,4
Czechoslovakia,49,50,47,146,4
Kenya,39,44,41,124,4
Austria,23,36,46,105,5
Belarus,13,30,42,85,5
Turkey,41,29,41,111,5
Kazakhstan,15,25,38,78,5
Mexico,13,27,37,77,5
United Team of Germany,28,54,36,118,5
Iran,27,29,32,88,5
Azerbaijan,9,16,31,56,5
Argentina,22,27,31,80,5
South Africa,28,36,31,95,5
Unified Team,45,38,29,112,5
Jamaica,27,39,28,94,5
Yugoslavia,26,29,28,83,5
Czech Republic,22,22,28,72,5
North Korea,16,18,26,60,5
ROC,20,28,23,71,5
Ethiopia,24,15,23,62,5
Uzbekistan,18,8,23,49,5
Chinese Taipei,9,10,22,41,5
India,10,10,21,41,5
Egypt,9,12,20,41,5
Thailand,11,11,19,41,5
Georgia,13,15,19,47,5
Estonia,10,9,17,36,5
Ireland,15,10,17,42,5
Mongolia,2,12,17,31,5
Colombia,5,16,17,38,5
Croatia,16,15,17,48,5
Indonesia,10,14,16,40,5
Portugal,6,11,15,32,5
Lithuania,6,9,15,30,5
Morocco,8,5,13,26,5
Nigeria,3,11,13,27,5
Serbia,9,8,12,29,5
Slovenia,10,10,11,31,5
Trinidad and Tobago,3,5,11,19,5
Philippines,3,5,10,18,5
Israel,4,6,10,20,5
Slovakia,10,14,9,33,5
Venezuela,3,7,9,19,5
Armenia,2,11,9,22,5
Algeria,7,4,9,20,5
Mixed team,11,6,8,25,5
Puerto Rico,2,2,8,12,5
Kyrgyzstan,0,5,8,13,5
Tunisia,6,4,8,18,5
Malaysia,0,8,7,15,5
Moldova,0,3,7,10,5
Latvia,4,11,6,21,5
Hong Kong,4,3,6,13,5
Dominican Republic,4,5,6,15,5
Bahamas,8,2,6,16,5
Uruguay,2,2,6,10,5
Australasia,3,4,5,12,5
Qatar,2,2,5,9,5
Tajikistan,1,1,5,7,5
Pakistan,4,3,4,11,5
Ghana,0,1,4,5,5
Chile,3,8,4,15,5
Singapore,1,2,3,6,5
FR Yugoslavia,2,2,3,7,5
Kuwait,0,0,3,3,5
Grenada,1,1,3,5,5
Ivory Coast,1,1,3,5,5
Bohemia,0,1,3,4,5
Uganda,5,5,3,13,5
Russian Empire,1,4,3,8,5
Afghanistan,0,0,2,2,5
Albania,0,0,2,2,5
British West Indies,0,0,2,2,5
San Marino,0,1,2,3,5
Independent Olympic Participants,0,1,2,3,5
Ecuador,4,4,2,10,5
Saudi Arabia,0,2,2,4,5
Cameroon,3,1,2,6,5
Costa Rica,1,1,2,4,5
Panama,1,1,2,4,5
Zambia,0,1,2,3,5
Lebanon,0,2,2,4,5
Iceland,0,2,2,4,5
Syria,1,1,2,4,5
Peru,1,3,1,5,5
Zimbabwe,3,4,1,8,5
Refugee Olympic Team,0,0,1,1,5
Vietnam,1,3,1,5,5
Bahrain,4,3,1,8,5
Kosovo,3,1,1,5,5
Haiti,0,1,1,2,5
Niger,0,1,1,2,5
Fiji,2,1,1,4,5
Guyana,0,0,1,1,5
Suriname,1,0,1,2,5
United Arab Emirates,1,0,1,2,5
Bermuda,1,0,1,2,5
Independent Olympic Athletes,1,0,1,2,5
Jordan,1,2,1,4,5
Guatemala,1,1,1,3,5
Cabo Verde,0,0,1,1,5
Botswana,1,2,1,4,5
Mozambique,1,0,1,2,5
Mauritius,0,0,1,1,5
Taiwan,0,0,1,1,5
Macedonia,0,0,1,1,5
Togo,0,0,1,1,5
Eritrea,0,0,1,1,5
Iraq,0,0,1,1,5
Burkina Faso,0,0,1,1,5
Barbados,0,0,1,1,5
Djibouti,0,0,1,1,5
Namibia,0,5,0,5,5
Cyprus,0,2,0,2,5
Serbia and Montenegro,0,2,0,2,5
Burundi,1,1,0,2,5
Tanzania,0,2,0,2,5
Luxembourg,2,1,0,3,5
Saint Lucia,1,1,0,2,5
Ceylon,0,1,0,1,5
Formosa,0,1,0,1,5
Gabon,0,1,0,1,5
Virgin Islands,0,1,0,1,5
Tonga,0,1,0,1,5
Dominica,1,0,0,1,5
Samoa,0,1,0,1,5
Turkmenistan,0,1,0,1,5
Sudan,0,1,0,1,5
Sri Lanka,0,1,0,1,5
Paraguay,0,1,0,1,5
North Macedonia,0,1,0,1,5
Senegal,0,1,0,1,5
Montenegro,0,1,0,1,5
Netherlands Antilles,0,1,0,1,5
